case_id,physical_field_change_count,physical_fields,path_field_change_count,path_fields,status_change,termination_change
flash_ch4_c3_80_20_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_80_20_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_80_20_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_80_20_250k_5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_near_pure_c3_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_near_pure_ch4_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
pure_ethane_130k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_130k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_150k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_180k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_190p56k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_220k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_300k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_ethane_400k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_130k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_150k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_180k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_30mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_3mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_190p56k_5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_220k_0p01mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_220k_0p1mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_220k_0p5mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
pure_methane_220k_10mpa,5,dimensionless_a|dimensionless_b|log_fugacity_coefficients|compressibility_roots|selected_parent_root,0,,false,false
